epoch,acc,loss,val_acc,val_loss
0,0.5142857219491687,0.5535171915377889,0.5666666726271311,0.2243471841017405
1,0.49285714594381197,0.2358160029564585,0.4333333373069763,0.21924026062091193
2,0.5285714311259133,0.21559552422591619,0.5666666726271311,0.21157882114251456
3,0.4428571526493345,0.2219408697315625,0.4333333373069763,0.2238245556751887
4,0.4285714386829308,0.21649319997855596,0.4333333373069763,0.21699162324269614
5,0.528571432190282,0.21485825840915954,0.4333333373069763,0.21900907655556998
6,0.5285714343190193,0.21520631973232543,0.4333333373069763,0.21714645872513452
7,0.4142857183303152,0.22072854105915343,0.4333333373069763,0.21655376752217612
8,0.5285714332546506,0.2140674740076065,0.4333333373069763,0.22352187087138495
9,0.528571428997176,0.21317755537373678,0.4333333373069763,0.21843809137741724
